Title,Rating,Body
Shipping took forever!  This is not a touch screen,2.0,Long wait for product.  Shipping was far beyond estimate.
Getting  used to  it,5.0,Screen  is clear
"Terrible computer, 34 days and went dead, 2 days past the return.",1.0,You only have 30 days to return?
DO NOT BUY!!!!!,1.0,Do not buy this product!!!!! It got hot and bent it also started bubbling on the back and it is very slow.
It's not good if you want touchscreen and a big screen,3.0,It wasn't touchscreen. It's also like insanely small. Don't waste your money on this.
Piece of crap!,1.0,I’ve only had this computer for 11 months and the screen went out. $245 for a computer I can’t even use anymore. Piece of crap!
great laptop,3.0,it was alright while it lasted but stopped charging after a few months
Amazing,5.0,Best for browsing
Easy to work!,5.0,I purchased it for my granddaughter to use for school. She loves it!
Great,5.0,It's everything I needed it to be! Good product! Highly recommended
Nice little computer,5.0,Very pleased.
My grand daughter loves it .grand daughters schooling .,5.0,School work .
Low end of the spectrum.,1.0,This device is worth $90.
I recommend it.,4.0,A little hard to get use to. But now I do enjoy it.
bad product,1.0,"Took chrome book out of box, plugged it in and it does not work."
Portability and battery life,5.0,I liked its light weight with good battery life
Everything is Ok with delivery. My previous comment was a mistake.,5.0,Everything is Ok with delivery.
It works great to watch and play video games.,5.0,I love everything about this laptop.It works great.
Great,5.0,"First Chromebook I've purchased, glad I went with it."
Laptop,4.0,Smaller then expected... works fast overall a great laptop with a small screen
Student use,5.0,It is working great for my kid to do his school work. So far no issues.
Great product!,5.0,"I replace an older Chromebook, was able to access data on the new on after login into account."
Good value,5.0,Easy to use
The awesome thing is it can be charged off of any Android Charger!!,5.0,Love the product even purchased a 2nd one.
Greatful,5.0,Just what he needed for work
I do like this chromebook convenient in sizeyes,5.0,Yes I like personal use
Great,5.0,Just what I needed
Great product!,5.0,Flexibility!
It is user friendly,5.0,I like it it is compact and it is easy to navigate it
excellent quality,5.0,"Its excellent and user friendly, longer battery life."
Great back up computer,5.0,My recent hospital stay
It's defective,2.0,It is defective. Went to black and won't turn off
Nice,5.0,Very happy of my purchase work good and not disappointed of my purchase
Charger not included.,1.0,"BEWARE, charger NOT included."
Solid purchase,5.0,Great value for the compact sleek design.
samsung chrome,4.0,"it is convenient but i do not understand that I can not - sometimes - connect to Wifi - It said ""out of range"""
great product,5.0,awesome great gift
check all details of items have interests to make sure your happy with.,5.0,I like Samsung Chrome
Portable,5.0,Great product.
Perfect for what I needed.,4.0,Just what I needed.
It's a chormebook,5.0,Great laptop for the proce
Good,5.0,Liked it
Good,5.0,Very good
Good,5.0,Good all good
order this only if u need mimimal production,1.0,this laptop sucks
Easy to work on,4.0,Light weight
Good product for the money,5.0,Overall great product.. take the screen reviews with a grain of salt.. your buying a chromebook not a gaming lap.. purchased the 6gb version and have had no issues.. it functions perfectly for its intended purpose.
Great deal,4.0,Great deal for the price.  I use it for travel and use a PixelBook for home.  As others have said the screen could be better.  If the angle is right it is very usable but fades quickly if viewed from the sides.  Linux apps run great (I use Moneydance and libreodfice).  For Android apps you'll probably miss the fact that this model does not have a touchscreen and some Android games require it.  I would have given 5 stars if the screen was better.
A Chromebook replacing my Win10 Laptop? Yup!,5.0,"I fell into this Chromebook purely by accident. My mother received a free CB 3 from Verizon which she gave to me not long afterwards. I was going to sell it, got to tinkering with it and liked it so much I bought this CB4 with 64GB of flash memory and 6GB of RAM. The Chromebook is no longer ""snappy"". It's now proper quick when used as it is intended. This lightweight little CB is replacing my 15.6 Asus I7 laptop as my go to for home and the office. I can take it anywhere and it fits in the top case on my motorcycle, a huge deal for me. I would say the screen is not great and even at this price point, it should be better. The resolution is fine; trying to find the sweet spot for viewing is not. The plastic scratches way too easily and that bothers me more than anything else. I also wish it had at least one more USB-C port and would even have settle for a USB-A 3.0. But with a battery life that lasts in double digits (I can use it all day at work and when I get home without recharging), the perfect size and performance that makes it a viable work laptop, this Chromebook 4 is highly recommended."
Great if you can get it on sale,4.0,"I'll start by saying that I purchased this from another site where it was on sale, so I only paid a bit over $170 for a brand-new Samsung Chromebook 4. Additionally, people should keep in mind that this is a chromebook running Chrome OS, not a Windows PC with Windows 10; comparing this to the latter is pointless, and people who complain that it doesn't work like a $1,000 device with a more robust operating system clearly didn't do their homework and/or have unreasonable expectations.The battery life is great, and I can easily get over twelve hours of use out of it. It's also extremely lightweight, and is roughly the size of a spiral-bound notebook, so it's highly portable. Additionally, it's very fast--it boots up in less that five seconds, apps open basically instantaneously, and searches are executed right away. It has two USB ports, including a USB-C port, the latter of which is also used to connect the charger. The casing is also very nice, and it doesn't feel overly cheap and plastic-y like many chromebooks do. Installing Android apps and getting the Linux terminal running was very easy. Additionally, I'd honestly say that Chrome OS probably has the most user-friendly desktop UI, which, when combined with its security features, makes this a great option for kids or elderly people, as well as people who just need a device to browse the internet on or who (like me) wanted a backup device to take with them when they travel.The only reason I don't give this 5 stars--frankly, I'd rather only deduct half of one, but the review system won't let me--is because the screen is quite bad. It's probably the worst quality screen on any device I own, and I have a $60 smartphone (as a backup device to my ""real"" phone, but still). If you look at it at even a slight angle, it becomes borderline unviewable. Additionally, it looks almost as if there are some sort of spaces between all of the pixels; this is especially noticeable on light-colored screens. It's still usable, but is nonetheless disappointing.Overall, I'm quite happy with this, although I'd certainly be less so if I had paid full price due to the screen. That being said, this is absolutely worth considering if you're looking for a budget chromebook, especially if you can get it for cheap and/or screen quality isn't that important to you."
My school purchased hundreds of these. I don't recommend them.,2.0,"We have distributed hundreds of these Chromebooks to our kids. We also purchased hundreds of Dell 3100 Chromebooks. We have had ten times as many issues with the Samsung Chromebooks (power/charging problems, trackpad issues, broken screens, connection problems, etc).  If you have a choice, choose a Dell."
Great Laptop!,5.0,"This is a great laptop, especially for the value! I originally ordered 2 Samsung chrome book 3 11.6' for homeschooling our children.  The sellers, Newhope Dreams, contacted me to let me know that they had a better version and I would be getting a free upgrade for 2 Samsung chrome book 4 11.6' with more memory and a faster processor.  The laptops were extremely easy to set up and get started, like 20 minutes tops!  My children are comfortable using them and are adjusting to homeschooling very well.  It is fast, offers google play store and they love it.  We are beyond pleased and would recommend this laptop to anyone who is looking for an easy transition.  Thank you Newhope Dreams!"
A Big Disappointment!,2.0,"I have owned about six different samsung chromebooks, and have generally been happywith them.....I cannot say the same for this model.Seems very heavy and clunky compared to others, and the screen is horrible.The hinges are so cheap looking also.  Skip this model!"
Gets the job done even with an eye sore of a screen,3.0,"Its cute. Its light and built little above average. Keyboard is just ok with its little unique twist on keyboard layout. Battery life has changed when later updates came, it doesn't last as long. The screen...like many have rated a low score on is a kick to the teeth. Its not all that bright, the angles wash out whats being displayed, and well a plus is that its anti-glare. I mean you can only get so much for a chromebook that's priced for a few hundred dollars."
Bleh,1.0,Very poor performance. I bought 4 of these it is impossible to get 1 of them to download anything.  Very good internet as I Hotspot connected it from my Google Fi phone.
Great purchase,5.0,Love how light it is and how easy it is to use. Great purchase
I'm happy with it.,5.0,I had the last one and this one is awesome. Great deal for the money. Will buy again.
"small, what I need, always ready",5.0,"this is a super convenient do-just-about-everything-personal-related computer. I don't need real spreadsheets or non Google stuff to make my personal life work, so this small machine is great. Super good price, plug&play and so easy to manage. Long battery too. Love it for my personal life."
Warning!!,1.0,"Have had it less than a year, bought it July 2020 it is March 2021 and it has glitched twice, the second time not allowing me to log into my main profile on the computer at all. Return window and support for it has closed. I suggest buying things like this from an actual store that offer extended warranty."
Tomorrow’s technology today,5.0,This chrome book is today’s technology.  Built road tough and can do so much. This is the way to go!!!!
Nice small computer.,4.0,Basically a Google tablet in laptop form. Had to return because I needed windowa 10.
It's very handy and stylish,5.0,"Your browser does not support HTML5 video.
        


   That it's not a touch screen. Everything else is fine."
No touch screen,4.0,It's as expected. To small.And I wanted a touch screen.
It hooks up my Galaxy S10e to my laptop by Bluetooth,5.0,If you have a smartphone this is a great small laptop to use to carry around it's a great purchase.
Good,5.0,Good
Samsung,4.0,"Muy buena, buen material y practica."
Liked,5.0,My son likes it
Good,5.0,Just as described...love it
Worth it,5.0,Light weight easy to use! Long battery life!
Good DEAL,5.0,My baby love it 👏🏾👏🏾👏🏾
Perfection,5.0,It was great I love it
Samsung Chromebook Fan,5.0,"A few years ago I bought a chromebook 3 and it still works fine, but the family needed a second one. Saw this updated version and decided to give it a chance. Amazon packed the box it came it very well with the bubble wrap plus the socks I had ordered too... well done Amazon.... hahaha.I've been using this for a few hours and so far I had a zoom meeting, checked my mail, personalized some settings and cleared up a few apps that were nice but I personally didn't need.Pros: The smaller size. It's not heavy on my lap. Easily fit in any backpack.Keyboard is as smooth as butter, or creamy peanut butter, depending on whether you know how to really type.Hasn't gotten hot... been using it for a few hours and it's barely warn (then again I am in an air conditioned room).I like the screen. To me, who has to wear glasses, it's ok. Don't see too much of a difference from my chromebook 3. Edit: I do wish I could control the contrast while watching tv shows on some websites.Some have complained about having to view it from a ""sweet spot"". Please realize that many use these small laptops outside the home. Making a sideways view difficult means that some stranger sitting nearby will have trouble seeing your screen. It's sort of a subtle safety feature I learned about many moons ago.Cons: The charging cable is a little too short for where I want to plug in. I got a good extension cord for it.Only one usb port. I don't use it too much but it's nice to have more than one just in case one damaged.A small Con: Speakers could be better. They are underneath the laptop but I usually use headphones anyway. And I have a small bluetooth speaker I can plug in that I can use sometimes.Other stuff: There is a Night light feature that I have not really tested yet since I don't use the computer with the lights out. It gives the screen an orange/yellow tint. Edit: I'm using that now and it's means less eye strain.And I wish it came in other colors but hey, as long as I can get online I'm content.Update Nov 2021: Got a 4th one for an elderly relative. They like checking the news and watching youtube mostly but the tablet they had was really old so surprised them with this. The touchpad is a tiny bit loose but it clicks well. Got this on sale and very happy with the laptop."
Was NOT what I expected.,2.0,Very BASIC computer! Got for my son who mainly loves gaming.. this is not computer for that! Could not download any apps for Roblox.. etc. very basic.
Hermosa computadora y entrega súper veloz,5.0,Hermosa computadora y entrega súper veloz
